Year,Active Hunters,Harvest
2012,9732,1555
2013,9175,1523
2014,9710,1632
2015,11766,2250
2016,15109,3013
2017,13774,2473
2018,13251,2228
2019,14026,2250
2020,15279,2192
2021,14069,1714
2022,13567,1948
2023,13149,1795
