Year,Active Hunters,Bull Harvest,Cow Harvest,Calf Harvest,Total Harvest
2006,2497,197,77,96,370
2007,2707,178,59,63,300
2008,2389,162,59,46,267
2009,2414,101,41,64,206
2010,2162,98,43,94,235
2011,1987,107,59,28,194
2012,1683,89,47,36,172
2013,1691,73,26,0,99
2014,1287,47,27,7,81
2015,1015,45,18,4,67
2016,776,36,22,3,61
2017,876,42,23,14,79
2018,662,16,10,2,28
2019,632,18,10,9,37
2020,597,19,16,10,45
2021,221,14,5,3,22
2022,198,17,7,8,32
2023,190,15,9,10,34
