WMU,Year,Active Hunters,Bull Harvest,Cow Harvest,Calf Harvest,Total Harvest
21,2011,2423,142,34,13,189
21,2012,2345,129,38,48,215
21,2013,2448,128,52,32,212
21,2014,2763,131,52,32,215
21,2015,2768,93,61,13,167
21,2016,2404,66,61,2,129
21,2017,2665,84,49,9,142
21,2018,2845,76,63,20,159
21,2019,2782,102,86,12,200
21,2020,2033,56,30,2,88
21,2021,1537,64,48,9,121
21,2022,1361,51,34,4,89
21,2023,1342,60,36,14,110
55,2006,68,4,1,0,5
55,2007,187,8,5,3,16
55,2008,334,18,2,2,22
55,2009,329,10,2,2,14
55,2010,356,14,8,0,22
55,2011,518,17,7,16,40
55,2012,633,20,9,16,45
55,2013,598,14,4,3,21
55,2014,582,17,9,6,32
55,2015,590,11,15,6,32
55,2016,604,14,7,5,26
55,2017,641,15,8,5,28
55,2018,644,20,6,7,33
55,2019,695,15,10,6,31
55,2020,322,9,2,1,12
55,2021,182,9,1,1,11
55,2022,146,4,1,2,7
55,2023,175,4,2,0,6
55,2006,17,5,0,0,5
55,2007,85,6,2,0,8
55,2008,145,4,4,0,8
55,2009,145,3,5,0,8
55,2010,146,3,5,0,8
55,2011,110,6,2,0,8
55,2012,103,4,2,0,6
55,2013,150,4,4,0,8
55,2014,128,3,2,0,5
55,2015,118,0,2,0,2
55,2016,125,3,0,0,3
55,2017,145,4,0,1,5
55,2018,241,7,4,1,12
55,2019,266,8,5,2,15
55,2020,197,4,4,1,9
55,2021,123,6,1,0,7
55,2022,107,1,1,0,2
55,2023,112,1,3,0,4
