Year,Active Hunters,Harvest
2012,10957,3370
2013,11174,3032
2014,12655,3224
2015,13979,4216
2016,15721,4869
2017,14331,3789
2018,13286,3421
2019,13586,2809
2020,11809,2034
2021,11397,2035
2022,11787,2264
2023,12145,2862
